period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,30,2,2,1,2.0
2017-02,66,7,6,4,1001.0
2017-03,101,10,4,2,22.0
2017-04,126,13,4,3,1015.0
2017-05,159,17,8,14,1716.0
2017-06,207,25,11,20,180.0
2017-07,242,28,7,6,71.0
2017-08,275,31,11,18,3310.0
2017-09,307,42,21,25,8748.5
2017-10,350,48,16,33,5543.55
2017-11,365,55,18,17,3047.1
2017-12,368,56,12,11,2856.5
2018-01,384,61,8,6,630.0
2018-02,398,65,11,7,4486.0
2018-03,417,71,9,10,4751.0
2018-04,465,77,10,7,1840.0
2018-05,493,81,12,6,662.0
2018-06,512,85,10,12,2648.0
2018-07,536,89,4,3,115.0
2018-08,626,137,50,208,25849.96
2018-09,675,163,58,228,25836.92
2018-10,782,197,68,164,22351.760000000002
2018-11,872,256,92,288,31593.16
